,对象尺寸,客户端数,样本数量,写吞吐率,写99延迟,写90延迟,读吞吐率,读99延迟,读90延迟
0,0.002,1,256,0.7,0.008,0.005,0.66,0.01,0.006
1,0.002,2,256,0.67,0.017,0.01,0.73,0.015,0.009
2,0.002,3,256,0.46,0.073,0.018,0.51,0.096,0.02
3,0.002,4,256,0.34,0.108,0.041,0.5,0.046,0.024
4,0.002,5,256,0.65,0.03,0.022,0.37,0.125,0.051
5,0.002,6,256,0.65,0.038,0.026,0.78,0.028,0.023
6,0.002,7,256,0.46,0.048,0.03,0.37,0.043,0.025
7,0.002,8,256,0.37,0.049,0.034,0.4,0.247,0.035
8,0.002,9,256,0.4,0.507,0.03,0.3,0.237,0.039
9,0.002,10,256,0.31,1.004,0.037,0.33,0.246,0.047
10,0.002,11,256,0.32,1.004,0.03,0.37,0.211,0.027
11,0.002,12,256,0.32,1.006,0.034,0.3,1.003,0.021
12,0.002,13,256,0.32,1.004,0.025,0.32,1.004,0.029
13,0.002,14,256,0.32,1.004,0.038,0.28,1.004,0.034
14,0.002,15,256,0.31,1.008,0.043,0.27,1.003,0.033
15,0.002,16,256,0.39,1.005,0.028,0.25,1.004,0.034
16,0.002,17,256,0.46,1.034,0.037,0.22,1.017,0.064
17,0.002,18,256,0.39,1.029,0.029,0.25,1.006,0.043
18,0.002,19,256,0.3,1.023,0.033,0.24,1.006,0.038
19,0.002,20,256,0.16,3.007,0.035,0.34,1.002,0.015
